scheme_name,state_ministry,description,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tags,combined_text,scheme_link
Nanaji Deshmukh Krishi Sanjivani Prakalp,Maharashtra,"The project aims to enhance climate-resilience and profitability of smallholder farming systems in 15 project districts of Maharashtra through promotion of climate resilient technology and commodity value chain across approximately 5,000 drought-prone and/or sodicity/salinity affected villages.",Climate Resilience,Drought,Farmers,NDKSP,POCRA,Water Conservation,"Climate Resilience, Drought, Farmers, NDKSP, POCRA, Water Conservation","Nanaji Deshmukh Krishi Sanjivani Prakalp Maharashtra The project aims to enhance climate-resilience and profitability of smallholder farming systems in 15 project districts of Maharashtra through promotion of climate resilient technology and commodity value chain across approximately 5,000 drought-prone and/or sodicity/salinity affected villages. Climate Resilience, Drought, Farmers, NDKSP, POCRA, Water Conservation",https://www.myscheme.gov.in/schemes/pocra
Nandi Shala Yojana,Madhya Pradesh,"The scheme aims to improve local cattle breeds through natural insemination. Under this, indigenous breeding bulls are provided on subsidy to livestock farmers in rural Gram Panchayats.",Cattle,Dairy,Farmer,Financial Assistance,Subsidy,,"Cattle, Dairy, Farmer, Financial Assistance, Subsidy","Nandi Shala Yojana Madhya Pradesh The scheme aims to improve local cattle breeds through natural insemination. Under this, indigenous breeding bulls are provided on subsidy to livestock farmers in rural Gram Panchayats. Cattle, Dairy, Farmer, Financial Assistance, Subsidy",https://www.myscheme.gov.in/schemes/nsymp
Nariwal Paudha Vitaran Yojana,Bihar,"The scheme aimed at promoting coconut cultivation in non-traditional areas like Bihar. Under this scheme, farmers and urban residents can obtain coconut saplings at a subsidized rate to encourage widespread plantation and utilization.",Agriculture,Coconut Development,Financial Assistance,Plant Supply,Subsidy,,"Agriculture, Coconut Development, Financial Assistance, Plant Supply, Subsidy","Nariwal Paudha Vitaran Yojana Bihar The scheme aimed at promoting coconut cultivation in non-traditional areas like Bihar. Under this scheme, farmers and urban residents can obtain coconut saplings at a subsidized rate to encourage widespread plantation and utilization. Agriculture, Coconut Development, Financial Assistance, Plant Supply, Subsidy",https://www.myscheme.gov.in/schemes/npvy
National Agriculture Insurance Scheme,Ministry Of Agriculture and Farmers Welfare,"The National Agriculture Insurance Scheme (NAIS) was introduced by the Government of India to provide comprehensive insurance coverage and financial support to farmers against crop losses due to natural calamities, pests, and diseases.",Agriculture Subsidy,Crop Insurance,Farmers,Natural Disaster Coverage,,,"Agriculture Subsidy, Crop Insurance, Farmers, Natural Disaster Coverage","National Agriculture Insurance Scheme Ministry Of Agriculture and Farmers Welfare The National Agriculture Insurance Scheme (NAIS) was introduced by the Government of India to provide comprehensive insurance coverage and financial support to farmers against crop losses due to natural calamities, pests, and diseases. Agriculture Subsidy, Crop Insurance, Farmers, Natural Disaster Coverage",https://www.myscheme.gov.in/schemes/nai
National Agriculture Market,Ministry Of Agriculture and Farmers Welfare,"Launched on 14th April 2016, e-NAM is a pan-India electronic trading platform that links existing mandis to create a unified online market for agricultural commodities, promoting “One Nation One Market” and enabling transparent, efficient, and nationwide agri-trade.",APMC,E-bidding,E-payment,Electronic Trading,,,"APMC, E-bidding, E-payment, Electronic Trading","National Agriculture Market Ministry Of Agriculture and Farmers Welfare Launched on 14th April 2016, e-NAM is a pan-India electronic trading platform that links existing mandis to create a unified online market for agricultural commodities, promoting “One Nation One Market” and enabling transparent, efficient, and nationwide agri-trade. APMC, E-bidding, E-payment, Electronic Trading",https://www.myscheme.gov.in/schemes/e-nam
National Bamboo Mission,Ministry Of Agriculture and Farmers Welfare,Restructured National Bamboo Mission was launched during 2018-19 as a Centrally Sponsored Scheme (CSS) after the historical amendment of the Indian Forest Act during 2017 to exclude bamboo out from definition of tree.,Bamboo Marketing,Bamboo Plantation,Product Development,Quality Planting Material,,,"Bamboo Marketing, Bamboo Plantation, Product Development, Quality Planting Material","National Bamboo Mission Ministry Of Agriculture and Farmers Welfare Restructured National Bamboo Mission was launched during 2018-19 as a Centrally Sponsored Scheme (CSS) after the historical amendment of the Indian Forest Act during 2017 to exclude bamboo out from definition of tree. Bamboo Marketing, Bamboo Plantation, Product Development, Quality Planting Material",https://www.myscheme.gov.in/schemes/nbm
National Beekeeping & Honey Mission,Ministry Of Agriculture and Farmers Welfare,National Beekeeping & Honey Mission (NBHM) was announced as part of the Atmanirbhar Bharat Abhiyaan and aims  for the overall promotion & development of scientific beekeeping in the country to achieve the goal of ‘Sweet Revolution’ which is being implemented through National Bee Board (NBB),Beekeeper,Entrepreneurs,Farmers,Honey FPO,Start Up,,"Beekeeper, Entrepreneurs, Farmers, Honey FPO, Start Up","National Beekeeping & Honey Mission Ministry Of Agriculture and Farmers Welfare National Beekeeping & Honey Mission (NBHM) was announced as part of the Atmanirbhar Bharat Abhiyaan and aims  for the overall promotion & development of scientific beekeeping in the country to achieve the goal of ‘Sweet Revolution’ which is being implemented through National Bee Board (NBB) Beekeeper, Entrepreneurs, Farmers, Honey FPO, Start Up",https://www.myscheme.gov.in/schemes/nbhm
National Food Security Mission NFSM,Ministry Of Agriculture and Farmers Welfare,"National Food Security Mission was launched in 2007-08 to increase the production of rice, wheat and pulses. Later, coarse cereals, nutri cereals, commercial crops (sugarcane, jute, and cotton) were also added to the mission.",Demonstration,Millets,Nutri Cereals,Pulses,Rice,Seed Distribution,"Demonstration, Millets, Nutri Cereals, Pulses, Rice, Seed Distribution","National Food Security Mission NFSM Ministry Of Agriculture and Farmers Welfare National Food Security Mission was launched in 2007-08 to increase the production of rice, wheat and pulses. Later, coarse cereals, nutri cereals, commercial crops (sugarcane, jute, and cotton) were also added to the mission. Demonstration, Millets, Nutri Cereals, Pulses, Rice, Seed Distribution",https://www.myscheme.gov.in/schemes/nfsmcss
National Livestock Mission: Establishment of Entrepreneurship for Breed Development of Rural Poultry,"Ministry of Fisheries,Animal Husbandry and Dairying","The scheme aims to promote entrepreneurship in rural poultry farming. Through this scheme, a 50% capital subsidy is provided for establishing Parent Farms, Rural Hatcheries, and Brooder cum Mother Units.",Brooder Cum Mother Unit,Entrepreneurship,Parent Farm,Poultry Farming,Rural Hatchery,Rural Poultry,"Brooder Cum Mother Unit, Entrepreneurship, Parent Farm, Poultry Farming, Rural Hatchery, Rural Poultry","National Livestock Mission: Establishment of Entrepreneurship for Breed Development of Rural Poultry Ministry of Fisheries,Animal Husbandry and Dairying The scheme aims to promote entrepreneurship in rural poultry farming. Through this scheme, a 50% capital subsidy is provided for establishing Parent Farms, Rural Hatcheries, and Brooder cum Mother Units. Brooder Cum Mother Unit, Entrepreneurship, Parent Farm, Poultry Farming, Rural Hatchery, Rural Poultry",https://www.myscheme.gov.in/schemes/eebdrp
National Livestock Mission: Establishment of State Semen Bank,"Ministry of Fisheries,Animal Husbandry and Dairying","""Establishment of State Semen Bank (Genetic Improvement of Sheep and Goat breeds)"" aims at the genetic improvement of sheep/goat breeds through selective breeding by propagation of superior male germplasm through artificial insemination.",Bank,Buffalo,Gene,Goat,Semen,Sheep,"Bank, Buffalo, Gene, Goat, Semen, Sheep","National Livestock Mission: Establishment of State Semen Bank Ministry of Fisheries,Animal Husbandry and Dairying ""Establishment of State Semen Bank (Genetic Improvement of Sheep and Goat breeds)"" aims at the genetic improvement of sheep/goat breeds through selective breeding by propagation of superior male germplasm through artificial insemination. Bank, Buffalo, Gene, Goat, Semen, Sheep",https://www.myscheme.gov.in/schemes/essb
National Livestock Mission: Genetic Improvement of Pig Breeds - Import of Exotic Pig Germplasm,"Ministry of Fisheries,Animal Husbandry and Dairying",The scheme aims to enhance indigenous pig productivity through genetic upgradation. The scheme supports the establishment of pig semen collection and processing labs and the import of exotic pig germplasm.,Animal Husbandry,Import Exotic Pig,Livestock Agencies,Livestock Board,Pig,Pig Germplasm,"Animal Husbandry, Import Exotic Pig, Livestock Agencies, Livestock Board, Pig, Pig Germplasm","National Livestock Mission: Genetic Improvement of Pig Breeds - Import of Exotic Pig Germplasm Ministry of Fisheries,Animal Husbandry and Dairying The scheme aims to enhance indigenous pig productivity through genetic upgradation. The scheme supports the establishment of pig semen collection and processing labs and the import of exotic pig germplasm. Animal Husbandry, Import Exotic Pig, Livestock Agencies, Livestock Board, Pig, Pig Germplasm",https://www.myscheme.gov.in/schemes/iepg
National Livestock Mission: Genetic Improvement of Pig breeds - Establishment of Pig Semen Collection and Processing Lab,"Ministry of Fisheries,Animal Husbandry and Dairying","The Scheme aims to enhance per-animal productivity, reduce inbreeding, and minimize sexually transmitted diseases in pigs. Through this scheme, financial assistance is provided for establishing semen processing labs at government pig farms.",Boar,Genetic Improvement,Pig Farm,Pig Semen,Processing Lab,,"Boar, Genetic Improvement, Pig Farm, Pig Semen, Processing Lab","National Livestock Mission: Genetic Improvement of Pig breeds - Establishment of Pig Semen Collection and Processing Lab Ministry of Fisheries,Animal Husbandry and Dairying The Scheme aims to enhance per-animal productivity, reduce inbreeding, and minimize sexually transmitted diseases in pigs. Through this scheme, financial assistance is provided for establishing semen processing labs at government pig farms. Boar, Genetic Improvement, Pig Farm, Pig Semen, Processing Lab",https://www.myscheme.gov.in/schemes/epscpl
National Livestock Mission: Promotion of Piggery Entrepreneur,"Ministry of Fisheries,Animal Husbandry and Dairying",The scheme aims to promote entrepreneurship in pig farming by providing a one-time capital subsidy of up to ₹30 lakh to eligible entrepreneurs and organizations to establish breeder farms.,Enterpreneurship,Entrepreneur,Genetic Upgradation,Piggery,Pork Export,Pork Production,"Enterpreneurship, Entrepreneur, Genetic Upgradation, Piggery, Pork Export, Pork Production","National Livestock Mission: Promotion of Piggery Entrepreneur Ministry of Fisheries,Animal Husbandry and Dairying The scheme aims to promote entrepreneurship in pig farming by providing a one-time capital subsidy of up to ₹30 lakh to eligible entrepreneurs and organizations to establish breeder farms. Enterpreneurship, Entrepreneur, Genetic Upgradation, Piggery, Pork Export, Pork Production",https://www.myscheme.gov.in/schemes/ppe
National Mission For Sustainable Agriculture-Parmparagat Krishi Vikas Yojana (NMSA-PKVY),Gujarat,"The scheme ""National Mission For Sustainable Agriculture-Parmparagat Krishi Vikas Yojana (NMSA-PKVY)"" is a Centrally Sponsored Scheme that aims to promote organic farming practices through providing financial assistance for organic inputs and infrastructure support to farmers.",Infrastructure Support,Organic Farming,Sustainable Agriculture,,,,"Infrastructure Support, Organic Farming, Sustainable Agriculture","National Mission For Sustainable Agriculture-Parmparagat Krishi Vikas Yojana (NMSA-PKVY) Gujarat The scheme ""National Mission For Sustainable Agriculture-Parmparagat Krishi Vikas Yojana (NMSA-PKVY)"" is a Centrally Sponsored Scheme that aims to promote organic farming practices through providing financial assistance for organic inputs and infrastructure support to farmers. Infrastructure Support, Organic Farming, Sustainable Agriculture",https://www.myscheme.gov.in/schemes/nmsa-pkvy
National Mission for Sustainable Agriculture - Reinforced Area Development,Gujarat,"The scheme ""National Mission for Sustainable Agriculture - Reinforced Area Development"" aims to promote sustainable agriculture through improved agronomic practices, efficient resource use, and integrated farming systems by providing financial support to all farmers.",Agriculture,Crop Diversification,Integrated Farming,Soil Health,,,"Agriculture, Crop Diversification, Integrated Farming, Soil Health","National Mission for Sustainable Agriculture - Reinforced Area Development Gujarat The scheme ""National Mission for Sustainable Agriculture - Reinforced Area Development"" aims to promote sustainable agriculture through improved agronomic practices, efficient resource use, and integrated farming systems by providing financial support to all farmers. Agriculture, Crop Diversification, Integrated Farming, Soil Health",https://www.myscheme.gov.in/schemes/nmsa-radg
National Mission on Edible Oil- Oil Palm: Custom Hiring Centre cum Harvester Groups,Gujarat,"The scheme component ""Custom Hiring Centre cum Harvester Groups"" under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in the state and reduce dependency on imports by supporting farmers with equipment and facilities.",Custom Hiring Centre,Edible Oil,Harvester Group,Oil Palm,,,"Custom Hiring Centre, Edible Oil, Harvester Group, Oil Palm","National Mission on Edible Oil- Oil Palm: Custom Hiring Centre cum Harvester Groups Gujarat The scheme component ""Custom Hiring Centre cum Harvester Groups"" under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in the state and reduce dependency on imports by supporting farmers with equipment and facilities. Custom Hiring Centre, Edible Oil, Harvester Group, Oil Palm",https://www.myscheme.gov.in/schemes/nmoechchg
National Mission on Edible Oil- Oil Palm: Drip Irrigation,Gujarat,"The scheme component ""Drip Irrigation"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in Gujarat and reduce imports from abroad by providing drip irrigation facilities to farmers under subsidy norms.",Agriculture,Drip Irrigation,Edible Oil,Farmer,Subsidy,,"Agriculture, Drip Irrigation, Edible Oil, Farmer, Subsidy","National Mission on Edible Oil- Oil Palm: Drip Irrigation Gujarat The scheme component ""Drip Irrigation"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in Gujarat and reduce imports from abroad by providing drip irrigation facilities to farmers under subsidy norms. Agriculture, Drip Irrigation, Edible Oil, Farmer, Subsidy",https://www.myscheme.gov.in/schemes/nmoedp
National Mission on Edible Oil- Oil Palm: Establishment of Seed Garden,Gujarat,"The scheme component ""Establishment of Seed Garden"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase oil palm production in Gujarat and reduce imports by establishing seed gardens through infrastructure support to farmers.",Edible Oil,Farmer,Oil Palm Nursery Development,Seed Orchard Infrastructure,,,"Edible Oil, Farmer, Oil Palm Nursery Development, Seed Orchard Infrastructure","National Mission on Edible Oil- Oil Palm: Establishment of Seed Garden Gujarat The scheme component ""Establishment of Seed Garden"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase oil palm production in Gujarat and reduce imports by establishing seed gardens through infrastructure support to farmers. Edible Oil, Farmer, Oil Palm Nursery Development, Seed Orchard Infrastructure",https://www.myscheme.gov.in/schemes/nmeoesg
National Mission on Edible Oil- Oil Palm: Harvesting Tools,Gujarat,"The scheme component ""Harvesting Tools"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm and reduce its import by providing subsidies for various harvesting tools to farmers in the state.",Agricultural Equipment Subsidy,Cutter,Edible Oil,Wire Mash,,,"Agricultural Equipment Subsidy, Cutter, Edible Oil, Wire Mash","National Mission on Edible Oil- Oil Palm: Harvesting Tools Gujarat The scheme component ""Harvesting Tools"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm and reduce its import by providing subsidies for various harvesting tools to farmers in the state. Agricultural Equipment Subsidy, Cutter, Edible Oil, Wire Mash",https://www.myscheme.gov.in/schemes/nmoeht
National Mission on Edible Oil- Oil Palm: Nursery,Gujarat,"The scheme component ""Nursery"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in the state and reduce dependence on imports through providing subsidy assistance for setting up nurseries for farmers.",Edible Oil,Farmer,Nursery,Subsidy,,,"Edible Oil, Farmer, Nursery, Subsidy","National Mission on Edible Oil- Oil Palm: Nursery Gujarat The scheme component ""Nursery"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm in the state and reduce dependence on imports through providing subsidy assistance for setting up nurseries for farmers. Edible Oil, Farmer, Nursery, Subsidy",https://www.myscheme.gov.in/schemes/nmoen
National Mission on Edible Oil- Oil Palm: Replanting of Old Oil Palm Garden,Gujarat,"The scheme component ""Replanting of Old Oil Palm Garden"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to enhance oil palm production and lower dependency on imports by supporting farmers in uprooting and replanting old oil palm gardens.",Edible Oil,Oil Palm,Oil Palm Replanting,Subsidy,,,"Edible Oil, Oil Palm, Oil Palm Replanting, Subsidy","National Mission on Edible Oil- Oil Palm: Replanting of Old Oil Palm Garden Gujarat The scheme component ""Replanting of Old Oil Palm Garden"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to enhance oil palm production and lower dependency on imports by supporting farmers in uprooting and replanting old oil palm gardens. Edible Oil, Oil Palm, Oil Palm Replanting, Subsidy",https://www.myscheme.gov.in/schemes/nmoerop
National Mission on Edible Oils- Oil Palm,Ministry Of Agriculture and Farmers Welfare,"The Mission was launched with the aim to enhance the edible oilseeds production and oils availability in the country by harnessing Oil Palm area expansion, increasing CPO production and to reduce import burden on edible oils.",Area Expansion,Oil Palm,Oil Palm Mill,Processor,Seed Garden,Seed Nursery,"Area Expansion, Oil Palm, Oil Palm Mill, Processor, Seed Garden, Seed Nursery","National Mission on Edible Oils- Oil Palm Ministry Of Agriculture and Farmers Welfare The Mission was launched with the aim to enhance the edible oilseeds production and oils availability in the country by harnessing Oil Palm area expansion, increasing CPO production and to reduce import burden on edible oils. Area Expansion, Oil Palm, Oil Palm Mill, Processor, Seed Garden, Seed Nursery",https://www.myscheme.gov.in/schemes/nmeo-op
National Mission on Edible Oil–Oil Palm: Maintenance and Input Cost for Intercropping in Oilpalm,Gujarat,"The scheme component ""Maintenance and Input Cost for Intercropping in Oilpalm"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm and reduce imports by providing financial assistance for maintenance and intercropping.",Edible Oil,Intercropping Assistance,Maintenance Support,Oil Palm,Subsidy,,"Edible Oil, Intercropping Assistance, Maintenance Support, Oil Palm, Subsidy","National Mission on Edible Oil–Oil Palm: Maintenance and Input Cost for Intercropping in Oilpalm Gujarat The scheme component ""Maintenance and Input Cost for Intercropping in Oilpalm"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm and reduce imports by providing financial assistance for maintenance and intercropping. Edible Oil, Intercropping Assistance, Maintenance Support, Oil Palm, Subsidy",https://www.myscheme.gov.in/schemes/nmoepmicio
National Mission on Edible Oil–Oil Palm: Planting Materials,Gujarat,"The scheme component ""Planting Materials"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase oil palm production in the state and reduce dependency on imports through financial assistance to farmers for procuring planting materials.",Edible Oil,Imported Plant,Oil Palm,Planting Materials,Seedlings,Subsidy,"Edible Oil, Imported Plant, Oil Palm, Planting Materials, Seedlings, Subsidy","National Mission on Edible Oil–Oil Palm: Planting Materials Gujarat The scheme component ""Planting Materials"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase oil palm production in the state and reduce dependency on imports through financial assistance to farmers for procuring planting materials. Edible Oil, Imported Plant, Oil Palm, Planting Materials, Seedlings, Subsidy",https://www.myscheme.gov.in/schemes/nmoeppm
National Mission on Natural Farming,Ministry Of Agriculture and Farmers Welfare,"To motivate farmers to adopt chemical free farming and enhance the reach of natural farming, the Government has formulated National Mission on Natural Farming (NMNF) as a separate and independent scheme from 2023-24 by up scaling the Bhartiya Prakritik Krishi Paddati (BPKP).",Agro Ecology,Chemical-free Farming,Natural Farming,,,,"Agro Ecology, Chemical-free Farming, Natural Farming","National Mission on Natural Farming Ministry Of Agriculture and Farmers Welfare To motivate farmers to adopt chemical free farming and enhance the reach of natural farming, the Government has formulated National Mission on Natural Farming (NMNF) as a separate and independent scheme from 2023-24 by up scaling the Bhartiya Prakritik Krishi Paddati (BPKP). Agro Ecology, Chemical-free Farming, Natural Farming",https://www.myscheme.gov.in/schemes/nmnf
National Scheme Of Welfare Of Fishermen,"Ministry of Fisheries,Animal Husbandry and Dairying","The National Scheme of Welfare of Fishermen provides financial assistance to fishermen. They can use these for constructing houses and community halls for both recreation and work purposes. Further, through the amount availed under this scheme, fishermen can install tube wells.",Financial Assistance,Fisheries,Social Welfare,,,,"Financial Assistance, Fisheries, Social Welfare","National Scheme Of Welfare Of Fishermen Ministry of Fisheries,Animal Husbandry and Dairying The National Scheme of Welfare of Fishermen provides financial assistance to fishermen. They can use these for constructing houses and community halls for both recreation and work purposes. Further, through the amount availed under this scheme, fishermen can install tube wells. Financial Assistance, Fisheries, Social Welfare",https://www.myscheme.gov.in/schemes/nswf
National Water Awards,Ministry Of Jal Shakti,The objective of the National Water Awards is to encourage the stakeholders to adopt a holistic approach toward water resource management in the country as surface water and groundwater play a signiﬁcant role in the water cycle.,Awards,Development,Water,Water Resources,,,"Awards, Development, Water, Water Resources","National Water Awards Ministry Of Jal Shakti The objective of the National Water Awards is to encourage the stakeholders to adopt a holistic approach toward water resource management in the country as surface water and groundwater play a signiﬁcant role in the water cycle. Awards, Development, Water, Water Resources",https://www.myscheme.gov.in/schemes/nwa
Nationwide Artificial Insemination Programme,Madhya Pradesh,"The Nationwide Artificial Insemination Programme (NAIP), is a flagship program of the Department of Animal Husbandry and Dairying. The objective of the programme is to increase the productivity of livestock by improving the genetic potential through artificial insemination.",Animal,Artificial Insemination,Breeding,Livestock,Veterinary,,"Animal, Artificial Insemination, Breeding, Livestock, Veterinary","Nationwide Artificial Insemination Programme Madhya Pradesh The Nationwide Artificial Insemination Programme (NAIP), is a flagship program of the Department of Animal Husbandry and Dairying. The objective of the programme is to increase the productivity of livestock by improving the genetic potential through artificial insemination. Animal, Artificial Insemination, Breeding, Livestock, Veterinary",https://www.myscheme.gov.in/schemes/naip
Natural Calamity Relief to Fishermen of State,Goa,"“Natural Calamity Relief to Fishermen of State” is a scheme by the Dept of Fisheries, Govt of Goa. Through this scheme, financial assistance is provided to the active fishermen who contribute to the Fishermen Corpus Relief Fund, whose fishing vessels are damaged or lost due to natural calamities.",Crisis,Disaster,Financial Assistance,Fishermen,Relief,,"Crisis, Disaster, Financial Assistance, Fishermen, Relief","Natural Calamity Relief to Fishermen of State Goa “Natural Calamity Relief to Fishermen of State” is a scheme by the Dept of Fisheries, Govt of Goa. Through this scheme, financial assistance is provided to the active fishermen who contribute to the Fishermen Corpus Relief Fund, whose fishing vessels are damaged or lost due to natural calamities. Crisis, Disaster, Financial Assistance, Fishermen, Relief",https://www.myscheme.gov.in/schemes/ncrfs
Naye Fal Bagicho Ki Sthapana,Rajasthan,"Under the ""Naye Fal Bagecho Ki Sthapana"" subsidies to Increase farmers' income by facilitating the cultivation of high-value fruit crops that have a potentially higher market demand and profitability compared to traditional crops.",Agriculture,Farmer,Fruits,Garden,,,"Agriculture, Farmer, Fruits, Garden","Naye Fal Bagicho Ki Sthapana Rajasthan Under the ""Naye Fal Bagecho Ki Sthapana"" subsidies to Increase farmers' income by facilitating the cultivation of high-value fruit crops that have a potentially higher market demand and profitability compared to traditional crops. Agriculture, Farmer, Fruits, Garden",https://www.myscheme.gov.in/schemes/nfbks
Niji Talabon Ka Jirnoddhar Ki Yojana,Bihar,"The government of Bihar launched the ""Niji Talabon Ka Jirnoddhar Ki Yojana"" scheme aims to enhance the water holding capacity of private ponds to boost fish productivity & production as well as provide benefits to private fish farmers through the expansion/renovation of their ponds.",Fish Farmer,Pond,Productivity,,,,"Fish Farmer, Pond, Productivity","Niji Talabon Ka Jirnoddhar Ki Yojana Bihar The government of Bihar launched the ""Niji Talabon Ka Jirnoddhar Ki Yojana"" scheme aims to enhance the water holding capacity of private ponds to boost fish productivity & production as well as provide benefits to private fish farmers through the expansion/renovation of their ponds. Fish Farmer, Pond, Productivity",https://www.myscheme.gov.in/schemes/ntkjky
Old Age Pension Scheme under Chief  Minister’s Uzhavar Padhukappu Thittam,Tamil Nadu,"The 'Old Age Pension Scheme under Chief Minister’s Uzhavar Padhukappu Thittam' is a state scheme. The scheme aims to give a pension of ₹1,000/- to old-age farmers and destitute agricultural labourers who have membership card under CMPUT.",Farmers,Financial Assistance,Labour,Pension,Senior Citizen,,"Farmers, Financial Assistance, Labour, Pension, Senior Citizen","Old Age Pension Scheme under Chief  Minister’s Uzhavar Padhukappu Thittam Tamil Nadu The 'Old Age Pension Scheme under Chief Minister’s Uzhavar Padhukappu Thittam' is a state scheme. The scheme aims to give a pension of ₹1,000/- to old-age farmers and destitute agricultural labourers who have membership card under CMPUT. Farmers, Financial Assistance, Labour, Pension, Senior Citizen",https://www.myscheme.gov.in/schemes/oapsucmupt
One Time Assistance to Small and Marginal Farmers for Purchase of Small Farm Implements (OTA-SFI),West Bengal,"“One Time Assistance to Small and Marginal Farmers for Purchase of Small Farm Implements (OTA-SFI)”  by the Agriculture Department, Government of West Bengal aims to aid the farmers in procuring manually operated small farm implements necessary for agricultural operations.",Agriculture,Farmers,Financial Assistance,Small Farm Implements,,,"Agriculture, Farmers, Financial Assistance, Small Farm Implements","One Time Assistance to Small and Marginal Farmers for Purchase of Small Farm Implements (OTA-SFI) West Bengal “One Time Assistance to Small and Marginal Farmers for Purchase of Small Farm Implements (OTA-SFI)”  by the Agriculture Department, Government of West Bengal aims to aid the farmers in procuring manually operated small farm implements necessary for agricultural operations. Agriculture, Farmers, Financial Assistance, Small Farm Implements",https://www.myscheme.gov.in/schemes/ota-sfi
Opening And Maintenance Of Public School (Vidya Niketan) For Vimukta Jatis And Nomadic Tribes,Maharashtra,"The Government of Maharashtra has introduced a scheme ""Opening And Maintenance Of Public School (Vidya Niketan) For Vimukta Jatis And Nomadic Tribes"" to voluntary organizations to run the Public School (Vidya Niketan) on a grant-in-aid basis.",Education,Public School,Vidya Niketan,Vimukta Jatis And Nomadic Tribes,,,"Education, Public School, Vidya Niketan, Vimukta Jatis And Nomadic Tribes","Opening And Maintenance Of Public School (Vidya Niketan) For Vimukta Jatis And Nomadic Tribes Maharashtra The Government of Maharashtra has introduced a scheme ""Opening And Maintenance Of Public School (Vidya Niketan) For Vimukta Jatis And Nomadic Tribes"" to voluntary organizations to run the Public School (Vidya Niketan) on a grant-in-aid basis. Education, Public School, Vidya Niketan, Vimukta Jatis And Nomadic Tribes",https://www.myscheme.gov.in/schemes/omps
Organic Manure Scheme,Meghalaya,The objective of the scheme is to provide hands on training at the village level on production of organic compost inputs such as compost for plant health management for sustainable agriculture.,Agriculture,Farmer,Organic Manure,Training,,,"Agriculture, Farmer, Organic Manure, Training","Organic Manure Scheme Meghalaya The objective of the scheme is to provide hands on training at the village level on production of organic compost inputs such as compost for plant health management for sustainable agriculture. Agriculture, Farmer, Organic Manure, Training",https://www.myscheme.gov.in/schemes/oms
Organizing Block Demonstration,Tamil Nadu,"The “Organizing Block Demonstration” scheme provides a 50% subsidy or ₹2,000/- (whichever is less) on input costs for demonstrating the cultivation of Pulses crops over 5 hectares.",Agriculture,Block Demonstration,Farmer,Subsidy,,,"Agriculture, Block Demonstration, Farmer, Subsidy","Organizing Block Demonstration Tamil Nadu The “Organizing Block Demonstration” scheme provides a 50% subsidy or ₹2,000/- (whichever is less) on input costs for demonstrating the cultivation of Pulses crops over 5 hectares. Agriculture, Block Demonstration, Farmer, Subsidy",https://www.myscheme.gov.in/schemes/obd
Organizing Block Demonstration Through Department And Also Through TNAU,Tamil Nadu,"The scheme ""Organizing Block Demonstration Through Department And Also Through TNAU"" offers grants to farmers for maize cultivation. Farmers can avail a subsidy for demonstrating cultivation practices on a 1-hectare plot.",Agriculture,Block Demonstration,Farmer,Maize,,,"Agriculture, Block Demonstration, Farmer, Maize","Organizing Block Demonstration Through Department And Also Through TNAU Tamil Nadu The scheme ""Organizing Block Demonstration Through Department And Also Through TNAU"" offers grants to farmers for maize cultivation. Farmers can avail a subsidy for demonstrating cultivation practices on a 1-hectare plot. Agriculture, Block Demonstration, Farmer, Maize",https://www.myscheme.gov.in/schemes/obdtdaattnau
Organizing Block Demonstration on Polythene Mulch Technology in Groundnut,Tamil Nadu,The scheme provides financial assistance to farmers for adopting polythene mulch technology in groundnut cultivation to improve productivity.,Agriculture,Block Demonstration,Farmer,Groundnut,Polythene Mulch Technology,,"Agriculture, Block Demonstration, Farmer, Groundnut, Polythene Mulch Technology","Organizing Block Demonstration on Polythene Mulch Technology in Groundnut Tamil Nadu The scheme provides financial assistance to farmers for adopting polythene mulch technology in groundnut cultivation to improve productivity. Agriculture, Block Demonstration, Farmer, Groundnut, Polythene Mulch Technology",https://www.myscheme.gov.in/schemes/obdopmtig
